id,question,answer
0,In what country is Normandy located?,France
1,When were the Normans in Normandy?,10th and 11th centuries
2,From which countries did the Norse originate?,"Denmark, Iceland and Norway"
3,Who was the Norse leader?,Rollo
4,What century did the Normans first gain their separate identity?,10th century
5,Who was the duke in the battle of Hastings?,William the Conqueror
6,Who ruled the duchy of Normandy,Richard I
7,What religion were the Normans,Catholic
8,What is the original meaning of the word Norman?,Viking
9,When was the Latin version of the word Norman first recorded?,9th century
10,When was the Duchy of Normandy founded?,911
11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III
12,What river originally bounded the Duchy,Seine
13,Who upon arriving gave the original viking settlers a common identity?,Rollo
14,What was the Norman religion?,Catholicism
15,What part of France were the Normans located?,north
16,What was one of the Norman's major exports?,fighting horsemen
17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks
18,When did Herve serve as a Byzantine general?,1050s
19,When did Robert Crispin go up against the Turks?,1060s
20,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos
21,What was the name of the Norman castle?,Afranji
22,Who was the leader when the Franks entered the Euphrates valley?,Oursel
23,Who did the Normans team up with in Anatolia?,Turkish forces
24,What were the origins of the Raouliii family?,Norman mercenary
25,What was the name of the count of Apulia ,Robert Guiscard
26,When did Dyrrachium  fall to the Normans?,1082
27,How many men were in Robert's army?,"30,000"
28,Where did the Normans and Byzantines sign the peace treaty?,Deabolis
29,Who was Robert's son?,Bohemond
30,What river was Petrela located by?,Deabolis
31,When did the Normans attack Dyrrachium?,1185
32,What was the naval base called?,Dyrrachium
33,Where was Dyrrachium located?,the Adriatic
34,Who did Emma Marry?,King Ethelred II
35,Who was Emma's brother?,Duke Richard II
36,To where did Ethelred flee?,Normandy
37,Who kicked Ethelred out?,Sweyn Forkbeard
38,Who was Edward the Confessor's half-brother?,Harthacnut
39,When did Edward return?,1041
40,Who did Edward make archbishop of Canterbury?,Robert of Jumièges
41,Where did Harold II die?,Battle of Hastings
42,Who killed Harold II? ,William II
43,When was the Battle of Hastings?,1066
44,Who was the ruling class ahead of the Normans?,Anglo-Saxons
45,What was the Anglo-Norman language's final form?,Modern English
46,In what year did the Norman's invade at Bannow Bay?,1169
47,What country did the Normans invade in 1169?,Ireland
48,What culture did the Normans combine with in Ireland?,Irish
49,Who was Margaret's brother?,Edgar
50,Who was Margaret's husband?,King Malcolm III of Scotland
51,When was Scotland invaded by William?,1072
52,Who was the hostage?,Duncan
53,Who did Alexander I marry?,Sybilla of Normandy
54,"What culture's arrival in Scotland is know as the ""Davidian Revolution""?",Norman
55,Where was Ralph earl of?,Hereford
56,Who was Ralph in charge of being at war with?,the Welsh
57,Who made Ralph earl?,Edward the Confessor
58,What country was under the control of Norman barons?,Wales
59,What year did Roger de Tosny fail to accomplish what he set out to do?,1018
60,Who was in charge of the papal army in the War of Barbastro?,William of Montreuil
61,When did the Siege of Antioch take place?,1097
62,What was the name of Bohemond's nephew?,Tancred
63,What major conquest did Tancred play a roll in?,Jerusalem
64,How long did Western Europe control Cyprus?,380 years
65,What ruined Richard's plans to reach Acre?,a storm
66,Who was Richard's fiancee?,Berengaria
67,What year did the storm hit Richard's fleet?,1191
68,Who ruled Cyprus in 1191?,Isaac Komnenos
69,Who was Guy's Rival?,Conrad of Montferrat
70,What were Isaac's chains made out of?,silver
71,Who led Richard's troops when Cyprus was conquered?,Guy de Lusignan
72,What continent are the Canarian Islands off the coast of?,Africa
73,Who became the King of the Canary Islands?,Bethencourt
74,Who bought the rights?,Enrique Pérez de Guzmán
75,Who sold the rights?,Maciot de Bethencourt
76,Where are Jersey and Guernsey,Channel Islands
77,How many customaries does Norman customary law have?,two
78,What is the Norman architecture idiom?,Romanesque
79,What kind of arches does Norman architecture have?,rounded
80,What architecture type came after Norman in England?,Early Gothic
81,What architecture type came before Norman in England?,Anglo-Saxon
82,What place had the Norman Arab architectural style?,Sicily
83,When did the church reform begin?,early 11th century
84,Who used the church to unify themselves?,dukes
85,When were the French wars of religion?,16th century
86,What kind of needlework was used in the creation of the Bayeux Tapestry?,embroidery
87,What is Norman art's most well known piece?,Bayeux Tapestry
88,Who commissioned the Tapestry?,Odo
89,What is the most important type of Norman art preserved in churches?,mosaics
90,In what century did important classical music developments occur in Normandy?,11th
91,Who were the two abbots at Fécamp Abbey?,William of Volpiano and John of Ravenna
92,Where did the monks flee to?,southern Italy
93,What monastery did the Saint-Evroul monks establish in Italy?,Latin monastery at Sant'Eufemia.
94,Who patronized the monks in Italy? ,Robert Guiscard
95,What tradition were the Saint-Evroul monks known for?,singing
96,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?,Computational complexity theory
97,By what main attribute are computational problems classified utilizing computational complexity theory? ,inherent difficulty
98,What is the term for a task that generally lends itself to being solved by a computer?,computational problems
99,What measure of a computational problem broadly defines the inherent difficulty of the solution?,if its solution requires significant resources
100,What method is used to intuitively assess or quantify the amount of resources required to solve a computational problem?,mathematical models of computation
101,What are two basic primary resources used to guage complexity?,time and storage
102,What unit is measured to determine circuit complexity?,number of gates in a circuit
103,What practical role does defining the complexity of problems play in everyday computing?,determine the practical limits on what computers can and cannot do
104,What two fields of theoretical computer science closely mirror computational complexity theory?,analysis of algorithms and computability theory
105,What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem?,analysis of algorithms
106,What field of computer science analyzes all possible algorithms in aggregate to determine the resource requirements needed to solve to a given problem?  ,computational complexity theory
107,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,computability theory
108,What is the name given to the input string of a computational problem?,problem instance
109,"In computational complexity theory, what is the term given to describe the baseline abstract question needing to be solved? ",the problem
